sample,n,mean_5d,median_5d,win_rate,baseline_mean,excess_mean
Development,30,-0.0048779379,0.0072340403,0.5333333,0.0020818873,-0.0069598253
Out-of-sample,16,0.0093943109,0.0041763857,0.5625,0.0027230528,0.0066712581
